In Degree sequence
unique in-degrees in graph: 154
(degree : count)
24 : 90
42 : 25
219 : 1
60 : 8
132 : 1
131 : 2
130 : 1
137 : 3
65 : 6
66 : 9
134 : 2
68 : 9
69 : 11
139 : 1
138 : 1
170 : 1
67 : 8
25 : 84
26 : 82
167 : 1
20 : 151
21 : 127
22 : 127
23 : 106
28 : 60
29 : 54
183 : 1
181 : 2
186 : 1
104 : 1
6 : 1929
8 : 1055
105 : 3
4 : 4690
11 : 516
7 : 1383
99 : 4
98 : 4
122 : 2
168 : 3
125 : 1
126 : 1
228 : 1
128 : 1
90 : 3
93 : 4
92 : 3
95 : 3
94 : 4
97 : 3
14 : 325
91 : 3
10 : 685
13 : 345
12 : 458
59 : 13
58 : 12
17 : 203
61 : 9
55 : 18
54 : 20
57 : 13
56 : 16
51 : 16
88 : 4
53 : 10
52 : 13
19 : 181
2 : 24707
63 : 6
18 : 178
64 : 6
153 : 2
152 : 1
195 : 1
62 : 9
178 : 1
191 : 1
16 : 248
193 : 1
50 : 18
115 : 1
114 : 3
117 : 2
89 : 5
111 : 3
110 : 1
277 : 1
82 : 5
83 : 5
236 : 1
81 : 4
119 : 4
87 : 2
84 : 6
85 : 5
174 : 1
48 : 12
49 : 19
46 : 17
86 : 4
44 : 25
45 : 20
112 : 1
43 : 20
40 : 44
41 : 26
1 : 206350
27 : 75
3 : 9212
5 : 2879
36 : 38
9 : 853
146 : 1
147 : 1
145 : 1
142 : 3
204 : 1
140 : 2
141 : 1
148 : 1
149 : 1
245 : 2
76 : 4
108 : 1
74 : 4
241 : 1
72 : 5
71 : 5
70 : 8
102 : 2
103 : 1
100 : 5
101 : 1
106 : 1
107 : 2
79 : 5
78 : 2
15 : 276
77 : 3
39 : 29
38 : 36
80 : 6
121 : 2
33 : 44
32 : 39
31 : 47
30 : 56
37 : 38
75 : 4
35 : 50
34 : 34
47 : 24
73 : 4
